#,Min H2CO,RMS H2CO,SNR H2CO,Median continuum (weight),Fractional absorption (weight),Median continuum (mask),Fractional absorption (mask),tau_min (weight),tau_min (mask),V,sigma,Near or Far,Cloud name
3,-2.8,1.22,2.30,6.1,2.15,6.1,2.15,0.15,0.15,-90,8,F,-
5,-11.5,1.73,6.65,6.0,0.52,6.0,0.52,0.23,0.23,-78,5,N,-
6a,-1.8,0.57,3.16,4.2,2.37,5.9,3.3,0.09,0.09,-29,5,F,-
6b,-2.6,0.57,4.56,4.6,1.82,5.8,2.28,0.09,0.09,-21,12,F,-
7a,-18.5,1.62,11.42,5.3,0.29,6.6,0.36,0.22,0.19,-73,11,N,-
7b,-3.9,1.62,2.41,4.1,1.04,7.4,1.88,0.26,0.17,-37,5,N,-
8a,-5.3,1.38,3.84,6.0,1.13,12.7,2.4,0.17,0.10,-54,9,U,-
8b,-0.3,1.38,0.22,11.9,35.0,11.9,34.87,0.10,0.10,15,15,F,-
8c,-4.1,1.38,2.97,6.3,1.55,11.5,2.81,0.17,0.11,62,6,U,-
9,-8.0,1.01,7.92,21.1,3.45,21.1,2.64,0.04,0.04,15,12,LN,20 km/s
10,-97.0,2.05,47.32,75.3,0.78,75.3,0.78,0.03,0.03,48,11,N,50 km/s
11a,-9.9,1.68,5.89,17.1,1.73,27.5,2.78,0.09,0.06,-11,9,U,-
11b,9.0,1.68,5.35,8.8,0.97,25.2,2.8,0.16,0.06,45,9,U,-
11c,-9.7,1.68,5.77,9.0,0.93,25.4,2.62,0.16,0.06,14,8,U,-
12,-6.2,1.65,3.76,24.0,3.87,24.0,3.87,0.06,0.06,86,7,U,-
13,-15.3,2.17,7.05,16.2,1.06,16.2,1.06,0.12,0.12,50,9,LN,Stone
14,-11.4,1.72,6.63,13.0,1.14,13.0,1.14,0.12,0.12,22,9,LN,Sticks
15,-7.1,0.78,9.10,24.1,3.38,24.1,3.38,0.03,0.03,52,11,U,-
16a,-23.5,2.10,11.19,9.3,0.39,-,-,0.19,-,-15,3,N,Straw
16b,-21.0,2.10,10.00,13.8,0.66,18.7,0.89,0.13,0.10,57,8,N,Straw
17a,-42.7,1.14,37.46,7.2,0.17,11.9,0.28,0.13,0.09,18,16,N,Brick
17b,-46.7,1.14,40.96,8.7,0.19,14.3,0.31,0.11,0.08,37,7,N,Brick
17c,-9.8,1.14,8.60,3.5,0.36,16.0,1.63,0.20,0.07,70,14,LN,Brick
19,-35.4,1.42,24.93,8.0,0.23,8.0,0.23,0.15,0.15,-2,13,N,-
20,-3.5,0.92,3.80,7.8,2.21,7.8,2.21,0.11,0.11,90,18,F,Sailfish
21a,-19.8,2.62,7.56,5.8,0.29,7.5,0.38,0.35,0.26,8,14,N,C
21b,-7.7,2.62,2.94,4.8,0.62,8.4,1.09,0.39,0.23,39,4,N,C
22,-45.4,1.62,28.02,6.6,0.15,6.6,0.15,0.19,0.19,19,11,N,D
23,-22.3,0.64,34.84,7.8,0.35,7.8,0.35,0.07,0.07,28,11,N,E/F
24,-9.9,2.31,4.29,5.2,0.53,5.2,0.53,0.34,0.34,53,12,U,-
25,-13.3,0.33,40.30,28.2,2.12,28.2,2.12,0.01,0.01,62,12,LN,Sgr B2